year_month,direction,estimate,standard_error,status,gender,age_group
2001-01,Arrivals,344,0,Final,Female,0-4 years
2001-02,Arrivals,269,0,Final,Female,0-4 years
2001-03,Arrivals,239,0,Final,Female,0-4 years
2001-04,Arrivals,233,0,Final,Female,0-4 years
2001-05,Arrivals,206,0,Final,Female,0-4 years
2001-06,Arrivals,253,0,Final,Female,0-4 years
2001-07,Arrivals,242,0,Final,Female,0-4 years
2001-08,Arrivals,255,0,Final,Female,0-4 years
2001-09,Arrivals,296,0,Final,Female,0-4 years
2001-10,Arrivals,296,0,Final,Female,0-4 years
2001-11,Arrivals,367,0,Final,Female,0-4 years
2001-12,Arrivals,385,0,Final,Female,0-4 years
2002-01,Arrivals,330,0,Final,Female,0-4 years
2002-02,Arrivals,303,0,Final,Female,0-4 years
2002-03,Arrivals,314,0,Final,Female,0-4 years
2002-04,Arrivals,259,0,Final,Female,0-4 years
2002-05,Arrivals,258,0,Final,Female,0-4 years
2002-06,Arrivals,251,0,Final,Female,0-4 years
2002-07,Arrivals,272,0,Final,Female,0-4 years
2002-08,Arrivals,323,0,Final,Female,0-4 years
2002-09,Arrivals,328,0,Final,Female,0-4 years
2002-10,Arrivals,338,0,Final,Female,0-4 years
2002-11,Arrivals,383,0,Final,Female,0-4 years
2002-12,Arrivals,416,0,Final,Female,0-4 years
2003-01,Arrivals,389,0,Final,Female,0-4 years
2003-02,Arrivals,289,0,Final,Female,0-4 years
2003-03,Arrivals,341,0,Final,Female,0-4 years
2003-04,Arrivals,244,0,Final,Female,0-4 years
2003-05,Arrivals,248,0,Final,Female,0-4 years
2003-06,Arrivals,290,0,Final,Female,0-4 years
2003-07,Arrivals,294,0,Final,Female,0-4 years
2003-08,Arrivals,297,0,Final,Female,0-4 years
2003-09,Arrivals,323,0,Final,Female,0-4 years
2003-10,Arrivals,252,0,Final,Female,0-4 years
2003-11,Arrivals,351,0,Final,Female,0-4 years
2003-12,Arrivals,360,0,Final,Female,0-4 years
2004-01,Arrivals,366,0,Final,Female,0-4 years
2004-02,Arrivals,283,0,Final,Female,0-4 years
2004-03,Arrivals,277,0,Final,Female,0-4 years
2004-04,Arrivals,218,0,Final,Female,0-4 years
2004-05,Arrivals,246,0,Final,Female,0-4 years
2004-06,Arrivals,237,0,Final,Female,0-4 years
2004-07,Arrivals,264,0,Final,Female,0-4 years
2004-08,Arrivals,259,0,Final,Female,0-4 years
2004-09,Arrivals,304,0,Final,Female,0-4 years
2004-10,Arrivals,279,0,Final,Female,0-4 years
2004-11,Arrivals,283,0,Final,Female,0-4 years
